date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:16	67/67	---M--	200	added ('OK')	text/plain	date:Mon,%2009%20Mar%202020%2007:21:15%20GMT	https://www.accordproject.org/robots.txt		(from )
12:51:16	61290/61290	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2007:21:15%20GMT	https://www.accordproject.org/	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/index.html	(from )
12:51:16	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2009%20Mar%202020%2007:21:16%20GMT	https://www.accordproject.org/xmlrpc.php	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/xmlrpc.php	(from https://www.accordproject.org/)
12:51:17	175684/175684	---M-Z	200	added ('OK')	text/css	etag:%222ae44-5969be542a280-gzip%22	https://www.accordproject.org/wp-content/themes/accord-project/static/css/main.css	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/wp-content/themes/accord-project/static/css/main.css	(from https://www.accordproject.org/)
12:51:17	41467/41467	---M-Z	200	added ('OK')	text/css	etag:%22a1fb-59d3545ed38a7-gzip%22	https://www.accordproject.org/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/wp-includes/css/dist/block-library/style.min9dff.css	(from https://www.accordproject.org/)
12:51:17	10817/10817	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f762aefefb9ce0af2f33f0cb7d202eed-gzip%22	https://www.accordproject.org/feed/	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/feed/index.html	(from https://www.accordproject.org/)
12:51:18	1645/1645	---M-Z	200	added ('OK')	text/css	etag:%2266d-59d3549000672-gzip%22	https://www.accordproject.org/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/wp-content/plugins/contact-form-7/includes/css/stylesb62d.css	(from https://www.accordproject.org/)
12:51:18	2217/2217	---M--	200	added ('OK')	application/json	date:Mon,%2009%20Mar%202020%2007:21:18%20GMT	https://www.accordproject.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.accordproject.org%2F	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/wp-json/oembed/1.0/embed40fe.json	(from https://www.accordproject.org/)
12:51:18	2315/2315	---M-Z	200	added ('OK')	text/xml	date:Mon,%2009%20Mar%202020%2007:21:18%20GMT	https://www.accordproject.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.accordproject.org%2F&format=xml	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/wp-json/oembed/1.0/embedd6fc	(from https://www.accordproject.org/)
12:51:19	14074/14074	---M--	200	added ('OK')	image/svg+xml	etag:%2236fa-5969be542a280%22	https://www.accordproject.org/wp-content/themes/accord-project/static/assets/spritesheet.svg	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/wp-content/themes/accord-project/static/assets/spritesheet.svg	(from https://www.accordproject.org/)
12:51:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202020%2007:21:19%20GMT	https://www.accordproject.org/about	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/about	(from https://www.accordproject.org/)
12:51:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202020%2007:21:19%20GMT	https://www.accordproject.org/news	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/news	(from https://www.accordproject.org/)
12:51:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202020%2007:21:19%20GMT	https://www.accordproject.org/frequently-asked-questions	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/frequently-asked-questions	(from https://www.accordproject.org/)
12:51:21	60401/60401	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2007:21:20%20GMT	https://www.accordproject.org/news/	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/news/index.html	(from https://www.accordproject.org/)
12:51:21	53113/53113	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2007:21:20%20GMT	https://www.accordproject.org/frequently-asked-questions/	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/frequently-asked-questions/index.html	(from https://www.accordproject.org/)
12:51:21	101032/101032	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2007:21:20%20GMT	https://www.accordproject.org/about/	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/about/index.html	(from https://www.accordproject.org/)
12:51:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202020%2007:21:21%20GMT	https://www.accordproject.org/membership	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/membership.a.delayed	(from https://www.accordproject.org/)
12:51:22	66122/66122	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2007:21:21%20GMT	https://www.accordproject.org/membership/	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/membership/index.html	(from https://www.accordproject.org/)
12:51:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202020%2007:21:21%20GMT	https://www.accordproject.org/events	H:/HtTracked/OPEN%20WEBSITE%20IDEA/www.accordproject.org/events	(from https://www.accordproject.org/)
